distance_cost: 1.0581418230665496, orientation_cost: 24.874931358524147, position_cost: 10.48403936624527, action_diff_cost: 0.0, action_cost: 0.008488101122802062, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.0581549674156685, orientation_cost: 24.874942970957456, position_cost: 10.48418329480046, action_diff_cost: 0.0007688610089901438, action_cost: 0.03980199138478921, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.058417962289104, orientation_cost: 24.874943352260427, position_cost: 10.48609006350307, action_diff_cost: 0.02023993902063432, action_cost: 0.09506390791610766, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.0581151878933845, orientation_cost: 24.874981964804295, position_cost: 10.540335153462365, action_diff_cost: 0.1007350316848132, action_cost: 0.1289507803121248, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.0629284468667297, orientation_cost: 24.874908333531454, position_cost: 10.517031006500474, action_diff_cost: 0.17027965608119475, action_cost: 0.1303159381399619, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.0544935483034554, orientation_cost: 24.874969612154125, position_cost: 10.667653057724237, action_diff_cost: 0.17014012151396724, action_cost: 0.13193136077960607, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.0536078588310531, orientation_cost: 24.874963416304897, position_cost: 10.715718823019415, action_diff_cost: 0.18241299754663687, action_cost: 0.13831057128733856, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.0510500910073863, orientation_cost: 24.874969797315412, position_cost: 10.765866888221353, action_diff_cost: 0.1910510070698415, action_cost: 0.13711517548195748, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.0476042043584923, orientation_cost: 24.874954554076638, position_cost: 10.846636166796088, action_diff_cost: 0.20362730427713155, action_cost: 0.0551446931713862, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.0439619545375853, orientation_cost: 24.87498673928314, position_cost: 10.936538360081613, action_diff_cost: 0.1514588643318039, action_cost: 0.17411115034248992, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 1.0466915087200892, orientation_cost: 24.874992667046595, position_cost: 10.917827707715333, action_diff_cost: 0.6601148932414538, action_cost: 0.18702549254996118, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
