distance_cost: 2.784833834599591, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.008488101122802062, action_cost: 0.008488101122802062, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.7888579998219165, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.014707153507847286, action_cost: 0.0398019913847892, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.8083579618552306, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.018905122940168925, action_cost: 0.09506390791610764, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.852893086647085, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.004928302673265508, action_cost: 0.12895078031212479, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.8154888876637387, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.00025792963596164506, action_cost: 0.1303159381399619, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.8268891673876775, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0004191177344143844, action_cost: 0.13193136077960604, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.8201048551111323, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 9.427534599446344e-05, action_cost: 0.13831057128733856, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.8128420742898466, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0004559392901524787, action_cost: 0.13711517548195748, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.81449089298692, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0826545599133091, action_cost: 0.0551446931713862, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.84100671017847, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.10656676788362403, action_cost: 0.17411115034248992, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.8259745816698225, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0023334941358452333, action_cost: 0.18702549254996118, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.808137453026772, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0005287869962174107, action_cost: 0.19020944848527635, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.7973358573403178, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0025174371378913376, action_cost: 0.20516234729185792, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.7620051521870765, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0002698295420468888, action_cost: 0.20869401878398408, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.7439120679968023, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.25282365431286913, action_cost: 0.4175210790198432, suction_cost: 0.0, step_cost: 0.1, suction_reward: 0.0
distance_cost: 2.669371982364726, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.011357959011879993, action_cost: 0.3858323564720006, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6507481223977, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.1858323564720006, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.671732508645021, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.08193263187627997, action_cost: 0.28193263187628, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6478151968775134, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.2985975566697267, action_cost: 0.2005858343337335, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6582500033850662, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0005731233669938563, action_cost: 0.2000228797401313, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6481042936228527, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 2.287974013134671e-05, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.653798149469155, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6709704558609455, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6548569843135623, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.661342231237721, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6626727926119, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 2.465190328815662e-33, action_cost: 0.19999999999999996, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6625917555710634, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 2.465190328815662e-33, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.663772283787502, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 2.465190328815662e-33, action_cost: 0.19999999999999996, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.664320861171805, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 2.465190328815662e-33, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6631216132364255, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6646505739327617, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.663912926421522, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 2.465190328815662e-33, action_cost: 0.19999999999999996, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6615336332941615, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 2.465190328815662e-33, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6623734214583146, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 9.860761315262648e-33, action_cost: 0.19999999999999993, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.66151280491898, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.19999999999999993, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6550819229014353, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 9.860761315262648e-33, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6625016967463884, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6592470964099166, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 2.465190328815662e-33, action_cost: 0.19999999999999996, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.664395826243215, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 2.465190328815662e-33, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.663324062677833, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 9.860761315262648e-33, action_cost: 0.19999999999999993, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6632647989150784, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 9.860761315262648e-33, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.655027105028904, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6581106708666526, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.664398867521982, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 9.860761315262648e-33, action_cost: 0.19999999999999993, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6605824245120093, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 9.860761315262648e-33, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.659515242668045, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6571661582907806, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 3.417837723324623e-05, action_cost: 0.20003417837723322, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.658010845911958, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.00022145338129242744, action_cost: 0.20042963067579975, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6593214604394264, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.10042963067579974, action_cost: 0.1, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6679001304942696, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.4481084669161782, action_cost: 0.1494530047313043, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6563150867401695, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.014975222125679352, action_cost: 0.2151590989336911, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.656607723287509, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.00253881054834011, action_cost: 0.21884019490148998, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6627388158037415, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0008079103427025326, action_cost: 0.21879048089824168, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6691191327669803, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.006767937646465526, action_cost: 0.17293383235647194, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.670901950271293, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0014530286047356577, action_cost: 0.15615535626015112, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.667838466901817, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0014213693459803657, action_cost: 0.14208855306828613, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.663435517564339, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0015377448003291421, action_cost: 0.1322519596073724, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6635211703778023, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 8.279609148987053e-05, action_cost: 0.13088256479062213, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6829699886775558, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.00037202880301955964, action_cost: 0.1260515500317774, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
